"Description","Descrizione"
"Name","Nome"
"Instant Mode","Modalità Instant"
"Max Next Days","Numero di giorni successivi"
"Shipping Cost","Costo"
"Sort Order","Ordinamento"
"Show Method if Not Applicable","Mostra metodo se non applicabile"
"If enabled, allows you to automatically create shipping on Magento and on the PonyU system, if your customer chooses the PonyU shipping method.","Se abilitato, ti consente di creare automaticamente la spedizione su Magento e sui sistemi di PonyU, quando gli ordini sono effettuati con il metodo di spedizione PonyU."
"Enable or disable the PonyU M2 module.","Abilita o disabilita il modulo PonyU."
"This is the name of the carrier that will be displayed at the checkout.","Il nome del corriere che verrà mostrato in checkout."
"This is the title that will be displayed in the checkout for the PonyU shipping method.","Il titolo the verrà mostrato in checkout per il metodo di spedizione PonyU."
"This is the description of the PonyU shipping method that will be displayed in checkout.","Descrizione del metodo di spedizione PonyU che verrà mostrato in checkout."
"When this service is option, the first PonyU available slot will be displayed and assigned to the shipment.","Quando abilitato, all’ordine verrà assegnato automaticamente il primo slot messo a disopsizione da PonyU."
"You can define the maximum number of future days for the delivery schedule.<br />Your client can choose a delivery slot for his delivery.<br />*To use this option you have to disable the ""Instant"" mode.","Ti consente di definire il numero massimo di giorni successivi in cui il cliente finale potrà pianificare la consegna dell’ordine.<br />Il cliente avrà a disposizione una serie di slot disponibili.<br />*Per usare questa opzione, la modalità ""Instant"" deve essere disabilitata."
"Define the cost of the shipping.","Definisce il costo della spedizione."
"The PonyU endpoint URL.","L’endpoint URL offerta da PonyU."
"The PonyU API key.","L’API Key messa a disposizione da PonyU."
"Define if the PonyU shipping method must be enabled only for specific Countries or for all Countries.","Definisce se il metodo di spedizione PonyU può essere abilitato solo per specifiche Nazioni o se per tutte le Nazioni."
"If you want to enable the PonyU shipping method only for specific countries, define which ones.","Se vuoi abilitare il metodo di spedizione PonyU solo per alcune Nazioni, definisci quali."
"Define if you want to show the PonyU shipping method even if it can not be used for the specified shipping address.","Definisce se mostrare il metodo di spedizione PonyU anche quando non può essere utilizzato per l’indirizzo di spedizione indicato."
"Define where to show the PonyU shipping method in the checkout, compared to the other methods.","Definisce la posizione del metodo di spedizione PonyU in checkout, rispetto agli altri metodi di spedizione mostrati."
"%1 from %2 to %3", "%1 from %2 to %3"
"Some orders can be placed when the selected slot is not available anymore.<br />Enabling the ""<b>Deliver in the next available slot</b>"" feature will allow you to automatically assign the next available delivery slot to the order.","Durante il checkout, è possibile che lo slot selezionato dal cliente non sia più disponibile.<br />Abilitando la funzionalità ""<b>Deliver in the next available slot</b>"" l’ordine verrà automaticamente assegnato al successivo slot di consegna disponibile."
"No Order with increment id %1","Nessun ordine con increment ID %1"
"Package will be picked up from %1 on %2","Il pacco deve essere pronto a partire dalle ore %1 il %2"
"Package will be delivered from %1 to %2 on %3","Il pacco verrà consegnato dalle %1 alle %2 il %3"
"Cannot create PonyU Shipment:\n%1","Impossibile creare la spedizione PonyU:\n%1"
"Cannot ship order %1","Impossibile spedire l'ordine %1"
"Shipping Method","Metodo di spedizione"
"No language available","Nessuna lingua disponibile"
"No inventory for this store id: %1","Nessun inventario assegnato al negozio con ID: %1"
"Order will be delivered %1.","L'ordine verrà consegnato %1."
"%1 from %2 to %3","%1 tra le %2 e le %3"
"Select delivery slot.","Seleziona lo slot di consegna"
"Order will be delivered","L'ordine verrà consegnato"
"Default Shipping Price","Prezzo di spedizione di default"
"API Endpoint","API Endpoint"
"API KEY","API KEY"
"The PonyU API key.","PonyU API Key"
"Deliver in the next available slot","Consegna nel successivo slot disponibile"
"Shipping Method Prices","Prezzi del metodo di spedizione"
"Cannot find a better slot","Impossibile trovare uno slot migliore"
"Slot is not valid","Lo slot non è valido"
"Delivery time has changed","Il tempo di consegna è cambiato"
"Slot is not available anymore. Please select another delivery slot.","Lo slot di consegna selezionato non è più disponibile. Si prega di selezionare uno slot differente."
"The selected delivery slot is not available anymore. Contact the merchant.","The selected delivery slot is not available anymore. Contact the merchant."
